"from_lat","from_lon","to_lat","to_lon"
"45.0449862","38.9765876","45.0449862","38.9765876"
"45.0449862","38.9765876","45.0128578","39.0717488"
"45.0449862","38.9765876","45.0514211","38.9564249"
"45.0449862","38.9765876","45.0113787","39.122462"
"45.0449862","38.9765876","45.06876395","39.02560522382217"
"45.0449862","38.9765876","45.049406250000004","38.803343999999996"
"45.0449862","38.9765876","45.0344911","39.052518"
"45.0449862","38.9765876","45.0165901","39.0541191"
"45.0449862","38.9765876","45.048263250000005","38.97818755881007"
"45.0449862","38.9765876","45.0392504","38.9744738"
"45.0449862","38.9765876","45.0540287","38.78333182918455"
"45.0449862","38.9765876","45.02088465","39.08052255"
"45.0449862","38.9765876","45.0514211","38.9564249"
"45.0449862","38.9765876","45.023305050000005","39.01281960716355"
"45.0449862","38.9765876","45.0902859","38.97646804701084"
"45.0449862","38.9765876","45.0697697","38.970178925216445"
"45.0449862","38.9765876","45.01989315","39.003858446928824"
"45.0449862","38.9765876","45.0385151","39.09396181038221"
"45.0449862","38.9765876","45.0591141","38.9492965"
"45.0449862","38.9765876","45.060213399999995","39.029274322484525"
"45.0449862","38.9765876","45.052193349999996","38.95986561799339"
"45.0449862","38.9765876","45.046872449999995","38.97772153508214"
"45.0449862","38.9765876","45.037148","38.975632821148466"
"45.0449862","38.9765876","45.0634423","38.9191145"
"45.0449862","38.9765876","45.0375616","38.9935016"
"45.0449862","38.9765876","45.0390135","39.0955714"
"45.0449862","38.9765876","45.0360279","39.001249327204974"
"45.0449862","38.9765876","45.0436991","38.9814975"
"45.0449862","38.9765876","45.069402350000004","38.972340575108305"
"45.0449862","38.9765876","45.0406511","38.970659"
"45.0449862","38.9765876","45.04589","38.981377"
"45.0449862","38.9765876","45.1037667","38.9840094"
"45.0128578","39.0717488","45.0449862","38.9765876"
"45.0128578","39.0717488","45.0128578","39.0717488"
"45.0128578","39.0717488","45.0514211","38.9564249"
"45.0128578","39.0717488","45.0113787","39.122462"
"45.0128578","39.0717488","45.06876395","39.02560522382217"
"45.0128578","39.0717488","45.049406250000004","38.803343999999996"
"45.0128578","39.0717488","45.0344911","39.052518"
"45.0128578","39.0717488","45.0165901","39.0541191"
"45.0128578","39.0717488","45.048263250000005","38.97818755881007"
"45.0128578","39.0717488","45.0392504","38.9744738"
"45.0128578","39.0717488","45.0540287","38.78333182918455"
"45.0128578","39.0717488","45.02088465","39.08052255"
"45.0128578","39.0717488","45.0514211","38.9564249"
"45.0128578","39.0717488","45.023305050000005","39.01281960716355"
"45.0128578","39.0717488","45.0902859","38.97646804701084"
"45.0128578","39.0717488","45.0697697","38.970178925216445"
"45.0128578","39.0717488","45.01989315","39.003858446928824"
"45.0128578","39.0717488","45.0385151","39.09396181038221"
"45.0128578","39.0717488","45.0591141","38.9492965"
"45.0128578","39.0717488","45.060213399999995","39.029274322484525"
"45.0128578","39.0717488","45.052193349999996","38.95986561799339"
"45.0128578","39.0717488","45.046872449999995","38.97772153508214"
"45.0128578","39.0717488","45.037148","38.975632821148466"
"45.0128578","39.0717488","45.0634423","38.9191145"
"45.0128578","39.0717488","45.0375616","38.9935016"
"45.0128578","39.0717488","45.0390135","39.0955714"
"45.0128578","39.0717488","45.0360279","39.001249327204974"
"45.0128578","39.0717488","45.0436991","38.9814975"
"45.0128578","39.0717488","45.069402350000004","38.972340575108305"
"45.0128578","39.0717488","45.0406511","38.970659"
"45.0128578","39.0717488","45.04589","38.981377"
"45.0128578","39.0717488","45.1037667","38.9840094"
"45.0514211","38.9564249","45.0449862","38.9765876"
"45.0514211","38.9564249","45.0128578","39.0717488"
"45.0514211","38.9564249","45.0514211","38.9564249"
"45.0514211","38.9564249","45.0113787","39.122462"
"45.0514211","38.9564249","45.06876395","39.02560522382217"
"45.0514211","38.9564249","45.049406250000004","38.803343999999996"
"45.0514211","38.9564249","45.0344911","39.052518"
"45.0514211","38.9564249","45.0165901","39.0541191"
"45.0514211","38.9564249","45.048263250000005","38.97818755881007"
"45.0514211","38.9564249","45.0392504","38.9744738"
"45.0514211","38.9564249","45.0540287","38.78333182918455"
"45.0514211","38.9564249","45.02088465","39.08052255"
"45.0514211","38.9564249","45.0514211","38.9564249"
